"T","N","M","Result"
"T1mi","N0","M0","IA"
"T1a","N0","M0","IA"
"T1b","N0","M0","IA"
"T1c","N0","M0","IA"
"T1","N0","M0","IA"
"T2","N0","M0","IIA"
"T3","N0","M0","IIB"
"T4a","N0","M0","IIIB"
"T4b","N0","M0","IIIB"
"T4c","N0","M0","IIIB"
"T4d","N0","M0","IIIB"
"T4","N0","M0","IIIB"
"T1mi","N0","M0(i+)","IA"
"T1a","N0","M0(i+)","IA"
"T1b","N0","M0(i+)","IA"
"T1c","N0","M0(i+)","IA"
"T1","N0","M0(i+)","IA"
"T2","N0","M0(i+)","IIA"
"T3","N0","M0(i+)","IIB"
"T4a","N0","M0(i+)","IIIB"
"T4b","N0","M0(i+)","IIIB"
"T4c","N0","M0(i+)","IIIB"
"T4d","N0","M0(i+)","IIIB"
"T4","N0","M0(i+)","IIIB"
"T0","N0","M1","IV"
"T1mi","N0","M1","IV"
"T1a","N0","M1","IV"
"T1b","N0","M1","IV"
"T1c","N0","M1","IV"
"T1","N0","M1","IV"
"T2","N0","M1","IV"
"T3","N0","M1","IV"
"T4a","N0","M1","IV"
"T4b","N0","M1","IV"
"T4c","N0","M1","IV"
"T4d","N0","M1","IV"
"T4","N0","M1","IV"
"TX","N0","M1","IV"
"T1mi","N0(i-)","M0","IA"
"T1a","N0(i-)","M0","IA"
"T1b","N0(i-)","M0","IA"
"T1c","N0(i-)","M0","IA"
"T1","N0(i-)","M0","IA"
"T2","N0(i-)","M0","IIA"
"T3","N0(i-)","M0","IIB"
"T4a","N0(i-)","M0","IIIB"
"T4b","N0(i-)","M0","IIIB"
"T4c","N0(i-)","M0","IIIB"
"T4d","N0(i-)","M0","IIIB"
"T4","N0(i-)","M0","IIIB"
"T1mi","N0(i-)","M0(i+)","IA"
"T1a","N0(i-)","M0(i+)","IA"
"T1b","N0(i-)","M0(i+)","IA"
"T1c","N0(i-)","M0(i+)","IA"
"T1","N0(i-)","M0(i+)","IA"
"T2","N0(i-)","M0(i+)","IIA"
"T3","N0(i-)","M0(i+)","IIB"
"T4a","N0(i-)","M0(i+)","IIIB"
"T4b","N0(i-)","M0(i+)","IIIB"
"T4c","N0(i-)","M0(i+)","IIIB"
"T4d","N0(i-)","M0(i+)","IIIB"
"T4","N0(i-)","M0(i+)","IIIB"
"T0","N0(i-)","M1","IV"
"T1mi","N0(i-)","M1","IV"
"T1a","N0(i-)","M1","IV"
"T1b","N0(i-)","M1","IV"
"T1c","N0(i-)","M1","IV"
"T1","N0(i-)","M1","IV"
"T2","N0(i-)","M1","IV"
"T3","N0(i-)","M1","IV"
"T4a","N0(i-)","M1","IV"
"T4b","N0(i-)","M1","IV"
"T4c","N0(i-)","M1","IV"
"T4d","N0(i-)","M1","IV"
"T4","N0(i-)","M1","IV"
"TX","N0(i-)","M1","IV"
"T1mi","N0(i+)","M0","IA"
"T1a","N0(i+)","M0","IA"
"T1b","N0(i+)","M0","IA"
"T1c","N0(i+)","M0","IA"
"T1","N0(i+)","M0","IA"
"T2","N0(i+)","M0","IIA"
"T3","N0(i+)","M0","IIB"
"T4a","N0(i+)","M0","IIIB"
"T4b","N0(i+)","M0","IIIB"
"T4c","N0(i+)","M0","IIIB"
"T4d","N0(i+)","M0","IIIB"
"T4","N0(i+)","M0","IIIB"
"T1mi","N0(i+)","M0(i+)","IA"
"T1a","N0(i+)","M0(i+)","IA"
"T1b","N0(i+)","M0(i+)","IA"
"T1c","N0(i+)","M0(i+)","IA"
"T1","N0(i+)","M0(i+)","IA"
"T2","N0(i+)","M0(i+)","IIA"
"T3","N0(i+)","M0(i+)","IIB"
"T4a","N0(i+)","M0(i+)","IIIB"
"T4b","N0(i+)","M0(i+)","IIIB"
"T4c","N0(i+)","M0(i+)","IIIB"
"T4d","N0(i+)","M0(i+)","IIIB"
"T4","N0(i+)","M0(i+)","IIIB"
"T0","N0(i+)","M1","IV"
"T1mi","N0(i+)","M1","IV"
"T1a","N0(i+)","M1","IV"
"T1b","N0(i+)","M1","IV"
"T1c","N0(i+)","M1","IV"
"T1","N0(i+)","M1","IV"
"T2","N0(i+)","M1","IV"
"T3","N0(i+)","M1","IV"
"T4a","N0(i+)","M1","IV"
"T4b","N0(i+)","M1","IV"
"T4c","N0(i+)","M1","IV"
"T4d","N0(i+)","M1","IV"
"T4","N0(i+)","M1","IV"
"TX","N0(i+)","M1","IV"
"T1mi","N0(mol-)","M0","IA"
"T1a","N0(mol-)","M0","IA"
"T1b","N0(mol-)","M0","IA"
"T1c","N0(mol-)","M0","IA"
"T1","N0(mol-)","M0","IA"
"T2","N0(mol-)","M0","IIA"
"T3","N0(mol-)","M0","IIB"
"T4a","N0(mol-)","M0","IIIB"
"T4b","N0(mol-)","M0","IIIB"
"T4c","N0(mol-)","M0","IIIB"
"T4d","N0(mol-)","M0","IIIB"
"T4","N0(mol-)","M0","IIIB"
"T1mi","N0(mol-)","M0(i+)","IA"
"T1a","N0(mol-)","M0(i+)","IA"
"T1b","N0(mol-)","M0(i+)","IA"
"T1c","N0(mol-)","M0(i+)","IA"
"T1","N0(mol-)","M0(i+)","IA"
"T2","N0(mol-)","M0(i+)","IIA"
"T3","N0(mol-)","M0(i+)","IIB"
"T4a","N0(mol-)","M0(i+)","IIIB"
"T4b","N0(mol-)","M0(i+)","IIIB"
"T4c","N0(mol-)","M0(i+)","IIIB"
"T4d","N0(mol-)","M0(i+)","IIIB"
"T4","N0(mol-)","M0(i+)","IIIB"
"T0","N0(mol-)","M1","IV"
"T1mi","N0(mol-)","M1","IV"
"T1a","N0(mol-)","M1","IV"
"T1b","N0(mol-)","M1","IV"
"T1c","N0(mol-)","M1","IV"
"T1","N0(mol-)","M1","IV"
"T2","N0(mol-)","M1","IV"
"T3","N0(mol-)","M1","IV"
"T4a","N0(mol-)","M1","IV"
"T4b","N0(mol-)","M1","IV"
"T4c","N0(mol-)","M1","IV"
"T4d","N0(mol-)","M1","IV"
"T4","N0(mol-)","M1","IV"
"TX","N0(mol-)","M1","IV"
"T1mi","N0(mol+)","M0","IA"
"T1a","N0(mol+)","M0","IA"
"T1b","N0(mol+)","M0","IA"
"T1c","N0(mol+)","M0","IA"
"T1","N0(mol+)","M0","IA"
"T2","N0(mol+)","M0","IIA"
"T3","N0(mol+)","M0","IIB"
"T4a","N0(mol+)","M0","IIIB"
"T4b","N0(mol+)","M0","IIIB"
"T4c","N0(mol+)","M0","IIIB"
"T4d","N0(mol+)","M0","IIIB"
"T4","N0(mol+)","M0","IIIB"
"T1mi","N0(mol+)","M0(i+)","IA"
"T1a","N0(mol+)","M0(i+)","IA"
"T1b","N0(mol+)","M0(i+)","IA"
"T1c","N0(mol+)","M0(i+)","IA"
"T1","N0(mol+)","M0(i+)","IA"
"T2","N0(mol+)","M0(i+)","IIA"
"T3","N0(mol+)","M0(i+)","IIB"
