"T","N","M","PSA","Gleason","Result"
"ANY","ANY","M1","ANY","ANY","IV"
"ANY","N1","M0","ANY","ANY","IV"
"T0","N0","M0","ANY","ANY","ERROR"
"T0","N0","M1a","ANY","ANY","IV"
"T0","N0","M1b","ANY","ANY","IV"
"T0","N0","M1c","ANY","ANY","IV"
"T0","N1","M1a","ANY","ANY","IV"
"T0","N1","M1b","ANY","ANY","IV"
"T0","N1","M1c","ANY","ANY","IV"
"T0","NX","M1a","ANY","ANY","IV"
"T0","NX","M1b","ANY","ANY","IV"
"T0","NX","M1c","ANY","ANY","IV"
"T1","N0","M0","","","I"
"T1","N0","M0","","1","I"
"T1","N0","M0","1","","I"
"T1","N0","M0","1","1","I"
"T1","N0","M0","","2","IIA"
"T1","N0","M0","1","2","IIA"
"T1","N0","M0","2","","IIA"
"T1","N0","M0","2","1","IIA"
"T1","N0","M0","2","2","IIA"
"T1","N0","M0","","3","IIB"
"T1","N0","M0","1","3","IIB"
"T1","N0","M0","2","3","IIB"
"T1","N0","M0","3","","IIB"
"T1","N0","M0","3","1","IIB"
"T1","N0","M0","3","2","IIB"
"T1","N0","M0","3","3","IIB"
"T1","N0","M1a","ANY","ANY","IV"
"T1","N0","M1b","ANY","ANY","IV"
"T1","N0","M1c","ANY","ANY","IV"
"T1","N1","M1a","ANY","ANY","IV"
"T1","N1","M1b","ANY","ANY","IV"
"T1","N1","M1c","ANY","ANY","IV"
"T1","NX","M1a","ANY","ANY","IV"
"T1","NX","M1b","ANY","ANY","IV"
"T1","NX","M1c","ANY","ANY","IV"
"T1a","N0","M0","","","I"
"T1a","N0","M0","","1","I"
"T1a","N0","M0","1","","I"
"T1a","N0","M0","1","1","I"
"T1a","N0","M0","","2","IIA"
"T1a","N0","M0","1","2","IIA"
"T1a","N0","M0","2","","IIA"
"T1a","N0","M0","2","1","IIA"
"T1a","N0","M0","2","2","IIA"
"T1a","N0","M0","","3","IIB"
"T1a","N0","M0","1","3","IIB"
"T1a","N0","M0","2","3","IIB"
"T1a","N0","M0","3","","IIB"
"T1a","N0","M0","3","1","IIB"
"T1a","N0","M0","3","2","IIB"
"T1a","N0","M0","3","3","IIB"
"T1a","N0","M1a","ANY","ANY","IV"
"T1a","N0","M1b","ANY","ANY","IV"
"T1a","N0","M1c","ANY","ANY","IV"
"T1a","N1","M1a","ANY","ANY","IV"
"T1a","N1","M1b","ANY","ANY","IV"
"T1a","N1","M1c","ANY","ANY","IV"
"T1a","NX","M1a","ANY","ANY","IV"
"T1a","NX","M1b","ANY","ANY","IV"
"T1a","NX","M1c","ANY","ANY","IV"
"T1b","N0","M0","","","I"
"T1b","N0","M0","","1","I"
"T1b","N0","M0","1","","I"
"T1b","N0","M0","1","1","I"
"T1b","N0","M0","","2","IIA"
"T1b","N0","M0","1","2","IIA"
"T1b","N0","M0","2","","IIA"
"T1b","N0","M0","2","1","IIA"
"T1b","N0","M0","2","2","IIA"
"T1b","N0","M0","","3","IIB"
"T1b","N0","M0","1","3","IIB"
"T1b","N0","M0","2","3","IIB"
"T1b","N0","M0","3","","IIB"
"T1b","N0","M0","3","1","IIB"
"T1b","N0","M0","3","2","IIB"
"T1b","N0","M0","3","3","IIB"
"T1b","N0","M1a","ANY","ANY","IV"
"T1b","N0","M1b","ANY","ANY","IV"
"T1b","N0","M1c","ANY","ANY","IV"
"T1b","N1","M1a","ANY","ANY","IV"
"T1b","N1","M1b","ANY","ANY","IV"
"T1b","N1","M1c","ANY","ANY","IV"
"T1b","NX","M1a","ANY","ANY","IV"
"T1b","NX","M1b","ANY","ANY","IV"
"T1b","NX","M1c","ANY","ANY","IV"
"T1c","N0","M0","","","I"
"T1c","N0","M0","","1","I"
"T1c","N0","M0","1","","I"
"T1c","N0","M0","1","1","I"
"T1c","N0","M0","","2","IIA"
"T1c","N0","M0","1","2","IIA"
"T1c","N0","M0","2","","IIA"
"T1c","N0","M0","2","1","IIA"
"T1c","N0","M0","2","2","IIA"
"T1c","N0","M0","","3","IIB"
"T1c","N0","M0","1","3","IIB"
"T1c","N0","M0","2","3","IIB"
"T1c","N0","M0","3","","IIB"
"T1c","N0","M0","3","1","IIB"
"T1c","N0","M0","3","2","IIB"
"T1c","N0","M0","3","3","IIB"
"T1c","N0","M1a","ANY","ANY","IV"
"T1c","N0","M1b","ANY","ANY","IV"
"T1c","N0","M1c","ANY","ANY","IV"
"T1c","N1","M1a","ANY","ANY","IV"
"T1c","N1","M1b","ANY","ANY","IV"
"T1c","N1","M1c","ANY","ANY","IV"
"T1c","NX","M1a","ANY","ANY","IV"
"T1c","NX","M1b","ANY","ANY","IV"
"T1c","NX","M1c","ANY","ANY","IV"
"T2","N0","M0","","","I"
"T2","N0","M0","","1","I"
"T2","N0","M0","1","","I"
"T2","N0","M0","1","1","I"
"T2","N0","M0","","2","IIA"
"T2","N0","M0","1","2","IIA"
"T2","N0","M0","2","","IIA"
"T2","N0","M0","2","1","IIA"
"T2","N0","M0","2","2","IIA"
"T2","N0","M0","","3","IIB"
"T2","N0","M0","1","3","IIB"
"T2","N0","M0","2","3","IIB"
"T2","N0","M0","3","","IIB"
"T2","N0","M0","3","1","IIB"
"T2","N0","M0","3","2","IIB"
"T2","N0","M0","3","3","IIB"
"T2","N0","M1a","ANY","ANY","IV"
"T2","N0","M1b","ANY","ANY","IV"
"T2","N0","M1c","ANY","ANY","IV"
